,wavelength,tap,head
541,851.0,1.51315902e-07,2.74247964e-06
542,852.0,1.48321078e-07,2.69779866e-06
543,853.0,1.4398718e-07,2.67456721e-06
544,854.0,1.46732248e-07,2.66855977e-06
545,855.0,1.48904405e-07,2.69856332e-06
546,856.0,1.47506199e-07,2.68932399e-06
547,857.0,1.49534159e-07,2.75803609e-06
548,858.0,1.52351419e-07,2.78585276e-06
549,859.0,1.55255108e-07,2.83771442e-06
550,860.0,1.59188602e-07,2.86843829e-06
551,861.0,1.66049958e-07,2.97047654e-06
552,862.0,1.70210996e-07,3.03524234e-06
553,863.0,1.74085514e-07,3.1466318e-06
554,864.0,1.86773349e-07,3.29576756e-06
555,865.0,1.84877919e-07,3.39892517e-06
556,866.0,1.98691396e-07,3.58935267e-06
557,867.0,2.11778783e-07,3.76806133e-06
558,868.0,2.24863513e-07,3.96809946e-06
559,869.0,2.38668804e-07,4.19819298e-06
560,870.0,2.42545127e-07,4.3525838e-06
561,871.0,2.6477457e-07,4.6017135e-06
562,872.0,2.81174039e-07,4.91631818e-06
563,873.0,3.02501661e-07,5.23874951e-06
564,874.0,3.48868724e-07,5.76793764e-06
565,875.0,4.54885708e-07,7.1023037e-06
566,876.0,6.04109914e-07,9.04450462e-06
567,877.0,8.35238779e-07,1.29416321e-05
568,878.0,1.06211917e-06,1.73472254e-05
569,879.0,1.32424168e-06,2.22503622e-05
570,880.0,1.52141388e-06,2.63872353e-05
571,881.0,1.65300389e-06,2.90342432e-05
572,882.0,1.75384105e-06,3.0763098e-05
573,883.0,1.76242634e-06,3.08041708e-05
574,884.0,1.675107e-06,2.95205318e-05
575,885.0,1.5179038e-06,2.71638601e-05
576,886.0,1.3435382e-06,2.35493553e-05
577,887.0,1.17067179e-06,1.98152047e-05
578,888.0,9.57155521e-07,1.60925629e-05
579,889.0,8.89433352e-07,1.38545774e-05
580,890.0,7.85619989e-07,1.24295348e-05
581,891.0,7.73866589e-07,1.2340498e-05
582,892.0,7.96093616e-07,1.33054946e-05
583,893.0,8.30550448e-07,1.4287185e-05
584,894.0,8.67838651e-07,1.52574521e-05
585,895.0,8.6323189e-07,1.53758974e-05
586,896.0,8.61487592e-07,1.51591012e-05
587,897.0,8.22982031e-07,1.44494425e-05
588,898.0,7.72035378e-07,1.34332668e-05
589,899.0,7.45478985e-07,1.24636581e-05
590,900.0,7.54243501e-07,1.23484697e-05
591,901.0,8.0434171e-07,1.31286979e-05
592,902.0,8.27585666e-07,1.40859402e-05
593,903.0,8.49325147e-07,1.49495336e-05
594,904.0,8.71556438e-07,1.55241669e-05
595,905.0,8.53558731e-07,1.5310965e-05
596,906.0,8.10997278e-07,1.44605337e-05
597,907.0,7.48472303e-07,1.32094292e-05
598,908.0,6.63574667e-07,1.16998399e-05
599,909.0,5.89819479e-07,1.01671121e-05
600,910.0,5.81811435e-07,9.42009683e-06
601,911.0,6.13958434e-07,9.65134132e-06
602,912.0,7.11788857e-07,1.11162972e-05
603,913.0,8.02193313e-07,1.30541976e-05
604,914.0,9.24727942e-07,1.57406557e-05
605,915.0,1.03469358e-06,1.79689323e-05
606,916.0,1.1134465e-06,1.96315104e-05
607,917.0,1.13365968e-06,2.0159523e-05
608,918.0,1.08792995e-06,1.95538996e-05
609,919.0,1.01405362e-06,1.80788302e-05
610,920.0,9.26502594e-07,1.59699266e-05
611,921.0,7.79987317e-07,1.35327919e-05
612,922.0,6.59559873e-07,1.12511343e-05
613,923.0,5.53753409e-07,9.22480285e-06
614,924.0,4.44220632e-07,7.49124411e-06
615,925.0,3.80315981e-07,6.36808136e-06
616,926.0,3.32008369e-07,5.56912664e-06
617,927.0,2.93588727e-07,4.89967942e-06
618,928.0,2.66369568e-07,4.52794075e-06
619,929.0,2.56328491e-07,4.23342362e-06
620,930.0,2.43982043e-07,4.09665063e-06
621,931.0,2.42817293e-07,4.05429955e-06
622,932.0,2.55123638e-07,4.12566033e-06
623,933.0,2.69052777e-07,4.23366146e-06
624,934.0,2.85801377e-07,4.48665151e-06
625,935.0,3.27469024e-07,4.87093439e-06
626,936.0,3.50469037e-07,5.20043204e-06
627,937.0,3.95881301e-07,5.69932035e-06
628,938.0,4.23392493e-07,6.09555491e-06
629,939.0,4.4588819e-07,6.35084098e-06
630,940.0,4.54250028e-07,6.40527151e-06
631,941.0,4.64573219e-07,6.48087143e-06
632,942.0,4.6629367e-07,6.40805411e-06
633,943.0,4.58226936e-07,6.23698088e-06
634,944.0,4.58236883e-07,6.13242537e-06
635,945.0,4.53605111e-07,6.10501957e-06
636,946.0,4.51694774e-07,6.11263067e-06
637,947.0,4.64895862e-07,6.27225563e-06
638,948.0,4.63366092e-07,6.39044265e-06
639,949.0,4.7902671e-07,6.63492438e-06
640,950.0,4.76677513e-07,6.76495483e-06
641,951.0,4.69658488e-07,6.78135211e-06
642,952.0,4.71384254e-07,6.84688803e-06
643,953.0,4.40100479e-07,6.56437351e-06
644,954.0,4.13872101e-07,6.28738326e-06
645,955.0,3.82160891e-07,5.79844391e-06
646,956.0,3.46234884e-07,5.31139403e-06
647,957.0,3.07418333e-07,4.71001613e-06
648,958.0,2.73208087e-07,4.22123139e-06
649,959.0,2.3923306e-07,3.77360675e-06
650,960.0,2.14945942e-07,3.41144323e-06
